EMPRESA_SIGLA,EMPRESA_NOME,EMPRESA_NACIONALIDADE,ANO,MES,AEROPORTO_DE_ORIGEM_SIGLA,AEROPORTO_DE_ORIGEM_REGIAO,AEROPORTO_DE_ORIGEM_PAIS,AEROPORTO_DE_DESTINO_SIGLA,AEROPORTO_DE_DESTINO_PAIS,NATUREZA,GRUPO_DE_VOO,PASSAGEIROS_PAGOS,CARGA_PAGA_KG,ASK,RPK,COMBUSTIVEL_LITROS,DISTANCIA_VOADA_KM,DECOLAGENS,ASSENTOS,PAYLOAD,HORAS_VOADAS
ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),BRASILEIRA,2020,1,SBBE,NORTE,BRASIL,SBMD,BRASIL,DOMÉSTICA,REGULAR,15.0,245.0,49896.0,6930.0,3692.0,5544.0,12.0,108.0,16248.0,19.8833
ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),BRASILEIRA,2020,1,SBBG,SUL,BRASIL,SBPA,BRASIL,DOMÉSTICA,REGULAR,139.0,1178.0,78003.0,44619.0,6487.0,8667.0,27.0,243.0,38012.0,36.2833
ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),BRASILEIRA,2020,1,SBCA,SUL,BRASIL,SBCT,BRASIL,DOMÉSTICA,REGULAR,0.0,0.0,3951.0,0.0,350.0,439.0,1.0,9.0,1320.0,1.91667
ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),BRASILEIRA,2020,1,SBCT,SUL,BRASIL,SBCA,BRASIL,DOMÉSTICA,REGULAR,7.0,0.0,3951.0,3073.0,500.0,439.0,1.0,9.0,1200.0,2.71667
ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),BRASILEIRA,2020,1,SBCT,SUL,BRASIL,SSCT,BRASIL,DOMÉSTICA,REGULAR,77.0,577.0,51156.0,31262.0,4495.0,5684.0,14.0,126.0,18805.0,25.3667
ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),BRASILEIRA,2020,1,SBCT,SUL,BRASIL,SSFB,BRASIL,DOMÉSTICA,REGULAR,14.0,24.0,7092.0,5516.0,602.0,788.0,2.0,18.0,2718.0,3.36667
ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),BRASILEIRA,2020,1,SBCT,SUL,BRASIL,SSGY,BRASIL,DOMÉSTICA,REGULAR,70.0,667.0,52569.0,37170.0,4588.0,5841.0,11.0,99.0,13931.0,25.0667
ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),BRASILEIRA,2020,1,SBCT,SUL,BRASIL,SSKM,BRASIL,DOMÉSTICA,REGULAR,85.0,1148.0,58806.0,30855.0,5128.0,6534.0,18.0,162.0,24700.0,29.5833
ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),BRASILEIRA,2020,1,SBCT,SUL,BRASIL,SSOG,BRASIL,DOMÉSTICA,REGULAR,21.0,737.0,39429.0,7077.0,3439.0,4381.0,13.0,117.0,18050.0,20.05
ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),BRASILEIRA,2020,1,SBCT,SUL,BRASIL,SSPG,BRASIL,DOMÉSTICA,REGULAR,20.0,540.0,14040.0,1300.0,1517.0,1560.0,24.0,216.0,37191.0,11.15
ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),BRASILEIRA,2020,1,SBCT,SUL,BRASIL,SSPI,BRASIL,DOMÉSTICA,REGULAR,83.0,810.0,54306.0,35773.0,4738.0,6034.0,14.0,126.0,18612.0,26.1
ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),BRASILEIRA,2020,1,SBCT,SUL,BRASIL,SSUV,BRASIL,DOMÉSTICA,REGULAR,32.0,267.0,16605.0,6560.0,1553.0,1845.0,9.0,81.0,13157.0,9.76667
ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),BRASILEIRA,2020,1,SBCT,SUL,BRASIL,SSVL,BRASIL,DOMÉSTICA,REGULAR,68.0,465.0,25326.0,13668.0,2517.0,2814.0,14.0,126.0,20387.0,14.9167
ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),BRASILEIRA,2020,1,SBCY,CENTRO-OESTE,BRASIL,SWHP,BRASIL,DOMÉSTICA,REGULAR,7.0,1289.0,45837.0,3241.0,3609.0,5093.0,11.0,99.0,14713.0,20.65
ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),BRASILEIRA,2020,1,SBCY,CENTRO-OESTE,BRASIL,SWTS,BRASIL,DOMÉSTICA,REGULAR,2.0,1719.0,17820.0,360.0,1442.0,1980.0,11.0,99.0,16448.0,9.1
ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),BRASILEIRA,2020,1,SBEG,NORTE,BRASIL,SWPI,BRASIL,DOMÉSTICA,REGULAR,54.0,185.0,42939.0,19818.0,3616.0,4771.0,13.0,117.0,17908.0,19.9333
ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),BRASILEIRA,2020,1,SBJR,SUDESTE,BRASIL,SBSP,BRASIL,DOMÉSTICA,REGULAR,154.0,1019.0,191394.0,52822.0,18155.0,21266.0,62.0,558.0,84682.0,101.05
ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),BRASILEIRA,2020,1,SBMD,NORTE,BRASIL,SNYA,BRASIL,DOMÉSTICA,REGULAR,12.0,245.0,7236.0,804.0,706.0,804.0,12.0,108.0,18634.0,4.55
ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),BRASILEIRA,2020,1,SBPA,SUL,BRASIL,SBBG,BRASIL,DOMÉSTICA,REGULAR,117.0,1354.0,75114.0,37557.0,6382.0,8346.0,26.0,234.0,36495.0,37.7
ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),BRASILEIRA,2020,1,SBPA,SUL,BRASIL,SBPF,BRASIL,DOMÉSTICA,REGULAR,90.0,1162.0,89100.0,20250.0,8291.0,9900.0,44.0,396.0,63770.0,50.5333
ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),BRASILEIRA,2020,1,SBPA,SUL,BRASIL,SJRG,BRASIL,DOMÉSTICA,REGULAR,65.0,694.0,51957.0,16315.0,4531.0,5773.0,23.0,207.0,33176.0,26.55
